3406	10	Data\original\train\chaetognath_non_sagitta\15711.jpg
22212	90	Data\original\train\radiolarian_chain\60934.jpg
19772	83	Data\original\train\protist_fuzzy_olive\47858.jpg
23435	98	Data\original\train\siphonophore_calycophoran_rocketship_young\18451.jpg
18710	72	Data\original\train\hydromedusae_solmaris\77824.jpg
27717	111	Data\original\train\trichodesmium_tuft\66078.jpg
13197	37	Data\original\train\diatom_chain_tube\114374.jpg
25049	108	Data\original\train\trichodesmium_bowtie\75319.jpg
8015	22	Data\original\train\copepod_calanoid\34794.jpg
30298	120	Data\original\train\unknown_unclassified\91360.jpg
28373	114	Data\original\train\tunicate_doliolid\11436.jpg
19724	83	Data\original\train\protist_fuzzy_olive\30242.jpg
603	2	Data\original\train\acantharia_protist\42050.jpg
8892	24	Data\original\train\copepod_cyclopoid_oithona_eggs\22859.jpg
15042	48	Data\original\train\euphausiids\105587.jpg
26495	110	Data\original\train\trichodesmium_puff\48686.jpg
2226	6	Data\original\train\appendicularian_slight_curve\89227.jpg
18939	74	Data\original\train\hydromedusae_typeD_bell_and_tentacles\104230.jpg
7687	22	Data\original\train\copepod_calanoid\110872.jpg
16204	58	Data\original\train\hydromedusae_bell_and_tentacles\82739.jpg
29417	117	Data\original\train\tunicate_salp\99287.jpg
27736	111	Data\original\train\trichodesmium_tuft\7162.jpg
2516	8	Data\original\train\artifacts_edge\109592.jpg
16071	57	Data\original\train\hydromedusae_aglaura\25946.jpg
24300	105	Data\original\train\siphonophore_physonect\142013.jpg
16547	64	Data\original\train\hydromedusae_narco_young\109042.jpg
3042	9	Data\original\train\artifacts\88469.jpg
1043	5	Data\original\train\appendicularian_s_shape\101074.jpg
172	2	Data\original\train\acantharia_protist\113367.jpg
21316	85	Data\original\train\protist_other\57300.jpg
19911	84	Data\original\train\protist_noctiluca\10266.jpg
945	2	Data\original\train\acantharia_protist\95207.jpg
24555	108	Data\original\train\trichodesmium_bowtie\122955.jpg
22190	90	Data\original\train\radiolarian_chain\46700.jpg
26264	110	Data\original\train\trichodesmium_puff\33147.jpg
17822	69	Data\original\train\hydromedusae_shapeA\78742.jpg
23292	98	Data\original\train\siphonophore_calycophoran_rocketship_young\122542.jpg
12764	36	Data\original\train\diatom_chain_string\143080.jpg
5777	11	Data\original\train\chaetognath_other\96166.jpg
29162	116	Data\original\train\tunicate_salp_chains\53619.jpg
15384	49	Data\original\train\fecal_pellet\160102.jpg
24496	108	Data\original\train\trichodesmium_bowtie\108795.jpg
5560	11	Data\original\train\chaetognath_other\79278.jpg
